Name_of_sign,YouTube_link,Same_in_SASL_as_ASL,Can_the_link_be_downloaded,Number_of_Hands_used,,`,`
Family,www.youtube.com/watch?v=TwkGS9TjUX8,SAME,YES,TWO HANDS,,,
Son,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Sister,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Want,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
wedding,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Like,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Grandmother,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Uncle,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Cousin,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Dead / Die,www.youtube.com/watch?v=TwkGS9TjUX8,SAME,YES,TWO HANDS,,,
Adopt,www.youtube.com/watch?v=TwkGS9TjUX8,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Celebration,www.youtube.com/watch?v=TwkGS9TjUX8,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Hanukkah,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Altogether,www.youtube.com/watch?v=TwkGS9TjUX8,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Altogether,www.youtube.com/watch?v=TwkGS9TjUX8,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Divorce,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Wedding,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Vacation,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Thanksgiving (severa\\ optxons),www.youtube.com/watch?v=TwkGS9TjUX8,SAME,YES,TWO HANDS,,,
Thanksgiving (1),www.youtube.com/watch?v=TwkGS9TjUX8,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Thanksgving (2),www.youtube.com/watch?v=TwkGS9TjUX8,SOMEWHAT THE SAME,YES,TWO HANDS,,,
Thanksgiving (3),www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Thanksgiving (for kids),www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Cute,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
When?,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Right (Correct),www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Partner (1),www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Partner (2),www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Partner (both),www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Separate/\nSeparated,www.youtube.com/watch?v=TwkGS9TjUX8,SAME,YES,TWO HANDS,,,
Birthday (our area),www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Birthday (2),www.youtube.com/watch?v=TwkGS9TjUX8,SAME,YES,TWO HANDS,,,
Birthday (3),www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Birthday (all),www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,TWO HANDS,,,
Christmas,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Pretty/ Beautiful,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
Where?,www.youtube.com/watch?v=TwkGS9TjUX8,NOT THE SAME,YES,ONE HAND,,,
every week,www.youtube.com/watch?v=4G9L0i7ivX4,NOT THE SAME,YES,TWO HANDS,,,
vegetable,www.youtube.com/watch?v=4eUSi481LtQ,SAME,YES,ONE HAND,,,
lose,www.youtube.com/watch?v=Me4jgMLLsZk,NOT THE SAME,YES,TWO HANDS,,,
LONG AGO,www.youtube.com/watch?v=7GzBywBQPNE,NOT THE SAME,YES,ONE HAND,,,
talk,www.youtube.com/watch?v=Gju67TMAe14,NOT THE SAME,YES,ONE HAND,,,
talk,www.youtube.com/watch?v=Gju67TMAe14,NOT THE SAME,YES,ONE HAND,,,
potato,www.youtube.com/watch?v=xeoI1A-cyW4,NOT THE SAME,YES,TWO HANDS,,,
hot,www.youtube.com/watch?v=00cPyUsrC6M,SOMEWHAT THE SAME,YES,ONE HAND,,,
21,www.youtube.com/watch?v=OGjvYRhJFzM,NOT THE SAME,YES,ONE HAND,,,
WHERE,www.youtube.com/watch?v=TUQUVlMupcs,,NO,,,,
NICE,www.youtube.com/watch?v=TUQUVlMupcs,,NO,,,,
MEET,www.youtube.com/watch?v=TUQUVlMupcs,,NO,,,,
CHEERFUL/FRIENDLY,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
ARTIST,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
ARTIST,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
RETIRED,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
RETIRED,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
FAMOUS,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
NEAR,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
NEAR,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
FREEWAY,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
FREEWAY,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
FREEWAY,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
BASEBALL,www.youtube.com/watch?v=u0XAd3TkGaA,SOMEWHAT THE SAME,YES,TWO HANDS,,,
QUIET,www.youtube.com/watch?v=u0XAd3TkGaA,SOMEWHAT THE SAME,YES,TWO HANDS,,,
QUIET,www.youtube.com/watch?v=u0XAd3TkGaA,SOMEWHAT THE SAME,YES,TWO HANDS,,,
TRAFFIC,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
TRAFFIC,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
CLEAN,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
CLEAN,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
BORING,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
UP-UNTIL-NOW/SINCE,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
LONG-AGO,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,ONE HAND,,,
MOST,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
MOST,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
SOME,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
SOME,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
FEW,www.youtube.com/watch?v=u0XAd3TkGaA,SOMEWHAT THE SAME,YES,ONE HAND,,,
SEVERAL,www.youtube.com/watch?v=u0XAd3TkGaA,SOMEWHAT THE SAME,YES,ONE HAND,,,
PRETTY,www.youtube.com/watch?v=u0XAd3TkGaA,SOMEWHAT THE SAME,YES,ONE HAND,,,
BEAUTIFUL,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
DIFFERENT++ (arc),www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
FIREFIGHTER,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
HOTEL,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
HOTEL,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
START,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
FINISH,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
GET-UP,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
GET-UP,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
GET-UP,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
TIME?,www.youtube.com/watch?v=u0XAd3TkGaA,SOMEWHAT THE SAME,YES,TWO HANDS,,,
TIME?,www.youtube.com/watch?v=u0XAd3TkGaA,SOMEWHAT THE SAME,YES,TWO HANDS,,,
FIX,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
FIX,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
SPIDER,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
BUG,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,ONE HAND,,,
FROG,www.youtube.com/watch?v=u0XAd3TkGaA,SOMEWHAT THE SAME,YES,ONE HAND,,,
RABBIT,www.youtube.com/watch?v=u0XAd3TkGaA,SOMEWHAT THE SAME,YES,TWO HANDS,,,
INTERNET,www.youtube.com/watch?v=u0XAd3TkGaA,SOMEWHAT THE SAME,YES,TWO HANDS,,,
MORE-THAN,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
JAPAN,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
JAPAN,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
KOREA,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
KOREA,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
KOREA,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
MEXICO,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
ASIA\n(country),www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
CHINA,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
ITALY,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
FRANCE,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
FRANCE,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
EUROPE,www.youtube.com/watch?v=u0XAd3TkGaA,SOMEWHAT THE SAME,YES,ONE HAND,,,
EUROPE,www.youtube.com/watch?v=u0XAd3TkGaA,SOMEWHAT THE SAME,YES,ONE HAND,,,
GREECE,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
GREECE\n\n\u201c,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
AMERICA,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
AMERICA,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
DELICIOUS,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,ONE HAND,,,
#OK,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
GOOD!,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
GOOD!,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
VEGETABLE,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
FISH,www.youtube.com/watch?v=u0XAd3TkGaA,SOMEWHAT THE SAME,YES,TWO HANDS,,,
SHRIMP,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
SANDWICH,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
SAN DVVICH,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
SAN DVVICH,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
SANDWICH,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
SAN DVVICH,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
SANDWICH,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
HAMBURGER,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
CHICKEN,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
SALAD,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
DESSERT,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
DESSERT,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
BEER,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
WOOD,www.youtube.com/watch?v=u0XAd3TkGaA,SOMEWHAT THE SAME,YES,TWO HANDS,,,
WOOD,www.youtube.com/watch?v=u0XAd3TkGaA,SOMEWHAT THE SAME,YES,TWO HANDS,,,
METAL,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,ONE HAND,,,
INTERESTING,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,ONE HAND,,,
INTERSECTION,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
INTERSECTION,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
SHOWER,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
BRUSH-TEETH,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
BRUSH-TEETH,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
TO-NAME,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,ONE HAND,,,
CAN,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
PEOPLE,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
BE-LATE,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,ONE HAND,,,
!RIGHT!,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
!RIGHT!,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
SCHEDULE,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
TAKE-UP,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
TAKE-UP,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
TEST,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
TEST\n\n\u201c,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
MONEY,www.youtube.com/watch?v=u0XAd3TkGaA,NOT THE SAME,YES,TWO HANDS,,,
LIST,www.youtube.com/watch?v=u0XAd3TkGaA,SAME,YES,TWO HANDS,,,
go-steady,www.youtube.com/watch?v=d7sibK6FvHo,NOT THE SAME,YES,TWO HANDS,,,
WHO,www.youtube.com/watch?v=H8Ev3-5Paxc,NOT THE SAME,YES,ONE HAND,,,
BOTHER / annoy,www.youtube.com/watch?v=QXhyP0rk1sM,SOMEWHAT THE SAME,YES,TWO HANDS,,,
CHILDREN,www.youtube.com/watch?v=pmha1kfPwJU,,NO,,,,
Grandmother,www.youtube.com/watch?v=QYAvuSJymQ8,NOT THE SAME,YES,ONE HAND,,,
FACE,www.youtube.com/watch?v=lMFJtu44oZs,SAME,YES,ONE HAND,,,
TELEPHONE,www.youtube.com/watch?v=ac1Lgm6qns8,SOMEWHAT THE SAME,YES,ONE HAND,,,
FLY,www.youtube.com/watch?v=ac1Lgm6qns8,SOMEWHAT THE SAME,YES,ONE HAND,,,
FLY,www.youtube.com/watch?v=ac1Lgm6qns8,SOMEWHAT THE SAME,YES,ONE HAND,,,
AIRPLANE,www.youtube.com/watch?v=ac1Lgm6qns8,SOMEWHAT THE SAME,YES,ONE HAND,,,
AIRPLANE,www.youtube.com/watch?v=ac1Lgm6qns8,SOMEWHAT THE SAME,YES,ONE HAND,,,
HEARING-AID,www.youtube.com/watch?v=ac1Lgm6qns8,SAME,YES,ONE HAND,,,
WATC H,www.youtube.com/watch?v=ac1Lgm6qns8,SAME,YES,TWO HANDS,,,
GAS,www.youtube.com/watch?v=ac1Lgm6qns8,SAME,YES,TWO HANDS,,,
BICYCLE,www.youtube.com/watch?v=ac1Lgm6qns8,SAME,YES,TWO HANDS,,,
SANDWICH,www.youtube.com/watch?v=ac1Lgm6qns8,SAME,YES,TWO HANDS,,,
SANDWICH,www.youtube.com/watch?v=ac1Lgm6qns8,SAME,YES,TWO HANDS,,,
BEER,www.youtube.com/watch?v=ac1Lgm6qns8,NOT THE SAME,YES,ONE HAND,,,
POPCORN,www.youtube.com/watch?v=ac1Lgm6qns8,SAME,YES,TWO HANDS,,,
POPCORN,www.youtube.com/watch?v=ac1Lgm6qns8,SAME,YES,TWO HANDS,,,
FISH,www.youtube.com/watch?v=ac1Lgm6qns8,SOMEWHAT THE SAME,YES,TWO HANDS,,,
FLAT-TIRE,www.youtube.com/watch?v=ac1Lgm6qns8,SAME,YES,TWO HANDS,,,
FLAT-TIRE,www.youtube.com/watch?v=ac1Lgm6qns8,SAME,YES,TWO HANDS,,,
FLAT-TIRE,www.youtube.com/watch?v=ac1Lgm6qns8,SAME,YES,TWO HANDS,,,
FAIL,www.youtube.com/watch?v=ac1Lgm6qns8,NOT THE SAME,YES,TWO HANDS,,,
FAIL,www.youtube.com/watch?v=ac1Lgm6qns8,NOT THE SAME,YES,TWO HANDS,,,
FAIL,www.youtube.com/watch?v=ac1Lgm6qns8,NOT THE SAME,YES,TWO HANDS,,,
SAVE,www.youtube.com/watch?v=ac1Lgm6qns8,NOT THE SAME,YES,TWO HANDS,,,
SAVE,www.youtube.com/watch?v=ac1Lgm6qns8,NOT THE SAME,YES,TWO HANDS,,,
MEASURE,www.youtube.com/watch?v=ac1Lgm6qns8,SOMEWHAT THE SAME,YES,TWO HANDS,,,
MEASURE,www.youtube.com/watch?v=ac1Lgm6qns8,SOMEWHAT THE SAME,YES,TWO HANDS,,,
BUSY,www.youtube.com/watch?v=ac1Lgm6qns8,NOT THE SAME,YES,TWO HANDS,,,
BUSY,www.youtube.com/watch?v=ac1Lgm6qns8,NOT THE SAME,YES,TWO HANDS,,,
STUCK,www.youtube.com/watch?v=ac1Lgm6qns8,SAME,YES,TWO HANDS,,,
STUCK,www.youtube.com/watch?v=ac1Lgm6qns8,SAME,YES,TWO HANDS,,,
PAST,www.youtube.com/watch?v=2Tgl8gxz_HA,SAME,YES,ONE HAND,,,
LAST-YEAR,www.youtube.com/watch?v=2Tgl8gxz_HA,NOT THE SAME,YES,TWO HANDS,,,
LAST-YEAR,www.youtube.com/watch?v=2Tgl8gxz_HA,NOT THE SAME,YES,TWO HANDS,,,
LAST MONTH,www.youtube.com/watch?v=2Tgl8gxz_HA,NOT THE SAME,YES,TWO HANDS,,,
LAST MONTH,www.youtube.com/watch?v=2Tgl8gxz_HA,NOT THE SAME,YES,TWO HANDS,,,
LAST MONTH,www.youtube.com/watch?v=2Tgl8gxz_HA,NOT THE SAME,YES,TWO HANDS,,,
LAST-WEEK,www.youtube.com/watch?v=2Tgl8gxz_HA,NOT THE SAME,YES,TWO HANDS,,,
AGAIN,www.youtube.com/watch?v=2Tgl8gxz_HA,NOT THE SAME,YES,TWO HANDS,,,
evening night,www.youtube.com/watch?v=T6HMmaPxBL8,NOT THE SAME,YES,TWO HANDS,,,
ugly,www.youtube.com/watch?v=eXSKC2jG3Eg,NOT THE SAME,YES,ONE HAND,,,
NORTH,www.youtube.com/watch?v=pB9FKEh5sts,SAME,YES,ONE HAND,,,
sandwich,www.youtube.com/watch?v=LN4IDYJxBYY,SOMEWHAT THE SAME,YES,TWO HANDS,,,
sandwich,www.youtube.com/watch?v=LN4IDYJxBYY,SOMEWHAT THE SAME,YES,TWO HANDS,,,
wednesday,www.youtube.com/watch?v=LhK-mH7r1n4,NOT THE SAME,YES,ONE HAND,,,
FAMILY,www.youtube.com/watch?v=bq-HmgjGzmw,SAME,YES,TWO HANDS,,,
PARENTS,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,ONE HAND,,,
AUNT,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,ONE HAND,,,
UNCLE,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,ONE HAND,,,
DAUGHTER,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,TWO HANDS,,,
SON,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,TWO HANDS,,,
CHILDREN,www.youtube.com/watch?v=bq-HmgjGzmw,SAME,YES,TWO HANDS,,,
NEPHEW,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,ONE HAND,,,
MARRY,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,TWO HANDS,,,
SEPARATED,www.youtube.com/watch?v=bq-HmgjGzmw,SAME,YES,TWO HANDS,,,
DIVORCE,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,TWO HANDS,,,
FRIEND,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,TWO HANDS,,,
GO STEADY,www.youtube.com/watch?v=bq-HmgjGzmw,SAME,YES,TWO HANDS,,,
BOYFRIEND,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,TWO HANDS,,,
GIRLFRIEND,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,TWO HANDS,,,
ROOMMATE,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,TWO HANDS,,,
NOW,www.youtube.com/watch?v=bq-HmgjGzmw,SAME,YES,TWO HANDS,,,
TODAY,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,TWO HANDS,,,
BEFORE,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,ONE HAND,,,
TOMORROW,www.youtube.com/watch?v=bq-HmgjGzmw,SAME,YES,ONE HAND,,,
WILL,www.youtube.com/watch?v=bq-HmgjGzmw,SAME,YES,ONE HAND,,,
LATER,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,ONE HAND,,,
SINCE,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,ONE HAND,,,
LONG,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,TWO HANDS,,,
SHORT,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,TWO HANDS,,,
BIRTHDAY,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,TWO HANDS,,,
SEEM,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,TWO HANDS,,,
WISH,www.youtube.com/watch?v=bq-HmgjGzmw,NOT THE SAME,YES,ONE HAND,,,
FINISH,www.youtube.com/watch?v=bq-HmgjGzmw,SAME,YES,TWO HANDS,,,
MOVIE,www.youtube.com/watch?v=bq-HmgjGzmw,SAME,YES,TWO HANDS,,,
UP TO NOW,www.youtube.com/watch?v=Uo91I41vnXY,SAME,YES,TWO HANDS,,,
butterfly,www.youtube.com/watch?v=3n-otbQDWXQ,SAME,YES,TWO HANDS,,,
butterfly,www.youtube.com/watch?v=3n-otbQDWXQ,SAME,YES,TWO HANDS,,,
CHEESE,www.youtube.com/watch?v=4HLIZZw4-g0,NOT THE SAME,YES,TWO HANDS,,,
live,www.youtube.com/watch?v=dIHWJvlIdwc,SOMEWHAT THE SAME,YES,TWO HANDS,,,
GARAGE,www.youtube.com/watch?v=6i1516QNfaY,SAME,YES,TWO HANDS,,,
Ready?,www.youtube.com/watch?v=FBD4NFz4QaA,SAME,YES,TWO HANDS,,,
Ok!,www.youtube.com/watch?v=FBD4NFz4QaA,SAME,YES,ONE HAND,,,
Pet,www.youtube.com/watch?v=FBD4NFz4QaA,NOT THE SAME,YES,TWO HANDS,,,
Animal,www.youtube.com/watch?v=FBD4NFz4QaA,NOT THE SAME,YES,TWO HANDS,,,
Lion,www.youtube.com/watch?v=FBD4NFz4QaA,NOT THE SAME,YES,ONE HAND,,,
Tiger,www.youtube.com/watch?v=FBD4NFz4QaA,NOT THE SAME,YES,TWO HANDS,,,
Bear,www.youtube.com/watch?v=FBD4NFz4QaA,SAME,YES,TWO HANDS,,,
Turtle,www.youtube.com/watch?v=FBD4NFz4QaA,SAME,YES,TWO HANDS,,,
Turtle,www.youtube.com/watch?v=FBD4NFz4QaA,SAME,YES,TWO HANDS,,,
Horse,www.youtube.com/watch?v=FBD4NFz4QaA,SAME,YES,ONE HAND,,,
Pig,www.youtube.com/watch?v=FBD4NFz4QaA,NOT THE SAME,YES,ONE HAND,,,
Fish,www.youtube.com/watch?v=FBD4NFz4QaA,SAME,YES,ONE HAND,,,
Chicken,www.youtube.com/watch?v=FBD4NFz4QaA,SAME,YES,ONE HAND,,,
Elephant,www.youtube.com/watch?v=FBD4NFz4QaA,NOT THE SAME,YES,ONE HAND,,,
Giraffe,www.youtube.com/watch?v=FBD4NFz4QaA,SAME,YES,ONE HAND,,,
Cat,www.youtube.com/watch?v=FBD4NFz4QaA,SAME,YES,TWO HANDS,,,
Dog,www.youtube.com/watch?v=FBD4NFz4QaA,SAME,YES,ONE HAND,,,
Cow,www.youtube.com/watch?v=FBD4NFz4QaA,SAME,YES,TWO HANDS,,,
Cow,www.youtube.com/watch?v=FBD4NFz4QaA,SAME,YES,TWO HANDS,,,
Cow,www.youtube.com/watch?v=FBD4NFz4QaA,SAME,YES,TWO HANDS,,,
Cow,www.youtube.com/watch?v=FBD4NFz4QaA,SAME,YES,TWO HANDS,,,
Dolphin,www.youtube.com/watch?v=FBD4NFz4QaA,SAME,YES,ONE HAND,,,
Whale (two ways),www.youtube.com/watch?v=FBD4NFz4QaA,NOT THE SAME,YES,ONE HAND,,,
Whale (two ways),www.youtube.com/watch?v=FBD4NFz4QaA,NOT THE SAME,YES,ONE HAND,,,
Shark (two ways),www.youtube.com/watch?v=FBD4NFz4QaA,NOT THE SAME,YES,ONE HAND,,,
Bye!,www.youtube.com/watch?v=FBD4NFz4QaA,NOT THE SAME,YES,ONE HAND,,,
buy,www.youtube.com/watch?v=XbmFJiTsW_E,NOT THE SAME,YES,TWO HANDS,,,
